Customer_ID,Customer_Name,Customer_Segment,Customer_First_Order_Date,Postal_Code
CUST-000001,François Roux,New,2025-08-02,75010
CUST-000002,Claire Mercier,New,2024-11-02,44094
CUST-000003,Antonio Rodríguez,Loyal,2024-03-15,28216
CUST-000004,Inès Moreau,New,2025-08-23,34623
CUST-000005,Tiago Gonçalves,Returning,2024-06-03,8069-856
CUST-000006,Léa Roussel,Returning,2024-11-29,69010
CUST-000007,Laura Muller,New,2025-12-09,44469
CUST-000008,Isabelle Gautier,New,2025-09-11,74934
CUST-000009,Marie Moreau,New,2025-10-14,51161
CUST-000010,Chloé Guerin,Loyal,2022-11-16,44094
CUST-000011,Paula Rodríguez,New,2025-10-12,36749
CUST-000012,Quentin Bonnet,New,2025-07-27,37913
CUST-000013,François Marchand,New,2025-07-29,74934
CUST-000014,Hugo Martin,New,2025-08-09,21065
CUST-000015,Cláudia Simões,Returning,2023-11-24,8069-856
CUST-000016,Alexandre Petit,Loyal,2023-04-05,63919
CUST-000017,Carolina Rodrigues,Loyal,2021-01-03,8049-271
CUST-000018,Emma Clement,New,2025-10-31,06281
CUST-000019,Maxime Bernard,Returning,2024-09-06,35142
CUST-000020,Julie Roussel,New,2025-08-02,13944
CUST-000021,Olivier Vincent,New,2025-09-13,17698
CUST-000022,François Henry,Returning,2024-09-15,63089
CUST-000023,José Jiménez,Returning,2024-12-20,46552
CUST-000024,Guillaume Mercier,Returning,2024-07-28,17698
CUST-000025,Luis Serrano,New,2025-09-01,50486
CUST-000026,Nathalie Guerin,Loyal,2023-06-24,06057
CUST-000027,Álvaro Suárez,Returning,2024-12-12,08545
CUST-000028,Élodie Duval,Loyal,2023-10-26,13006
CUST-000029,Diego Sanz,Returning,2024-09-01,33497
CUST-000030,Marie Bernard,Returning,2024-06-19,21551
CUST-000031,Chloé Moreau,Loyal,2022-01-03,38618
CUST-000032,David Vincent,Loyal,2021-09-14,67811
CUST-000033,Juliette Boyer,Returning,2024-07-09,31112
CUST-000034,Patrícia Alves,Returning,2024-01-17,3552-497
CUST-000035,Juliette Bernard,New,2025-04-27,37003
CUST-000036,Élodie Gauthier,New,2025-03-17,31658
CUST-000037,Nathalie Robin,Returning,2024-09-02,14944
CUST-000038,Amélie Fournier,New,2025-10-13,45224
CUST-000039,Filipe Antunes,New,2025-01-13,4707-412
CUST-000040,Rafael Lopes,Returning,2024-07-27,8060-826
CUST-000041,Emma Fournier,Returning,2024-04-28,57464
CUST-000042,Diana Jesus,Returning,2024-06-30,8093-347
CUST-000043,Manon Roussel,Returning,2024-03-12,34696
CUST-000044,Guillaume Lambert,Returning,2024-10-23,75005
CUST-000045,Beatriz Ferreira,Returning,2024-04-27,8093-347
CUST-000046,Julie Dupont,Loyal,2022-10-02,14269
CUST-000047,Léa Lefèvre,New,2024-10-05,49470
CUST-000048,Maxime Dupont,Returning,2024-04-07,14389
CUST-000049,Emma Roux,Returning,2024-10-02,67959
CUST-000050,Cláudia Reis,Returning,2024-07-23,4748-002
CUST-000051,Carmen Ramos,New,2025-10-08,14080
CUST-000052,Alba Morales,Loyal,2021-07-26,08851
CUST-000053,Nicolas Roux,Loyal,2023-05-13,14940
CUST-000054,Baptiste Martin,Returning,2024-11-30,13008
CUST-000055,Isabelle Garnier,New,2024-11-15,13008
CUST-000056,sandrine girard,Returning,2024-09-07,13965
CUST-000057,Anaïs Robin,Returning,2024-03-21,75011
CUST-000058,Pablo Fernández,Returning,2024-12-31,03602
CUST-000059,Maxime Fontaine,Loyal,2023-05-28,13127
CUST-000060,Daniel Mendes,New,2025-05-15,8049-271
CUST-000061,Daniel Simões,New,2025-10-20,3552-478
CUST-000062,Nuria Iglesias,New,2025-11-07,29245
CUST-000063,Adrien Rousseau,New,2025-02-11,13896
CUST-000064,Sophie Muller,New,2025-11-01,54521
CUST-000065,Sergio Sanz,Returning,2024-08-03,08234
CUST-000066,Nicolas Durand,Loyal,2021-03-03,34252
CUST-000067,Julien Dupont,Returning,2024-08-10,34867
CUST-000068,Bruno Ferreira,New,2025-08-23,8049-271
CUST-000069,Sandrine Morin,Returning,2024-02-17,13005
CUST-000070,François Masson,New,2025-08-08,51410
CUST-000071,Rita Simões,New,2025-11-12,3824-194
CUST-000072,Marie Vincent,New,2025-04-05,63777
CUST-000073,Chloé Clement,New,2025-03-20,29580
CUST-000074,Pierre Boyer,Returning,2024-07-24,42159
CUST-000075,Maxime André,Loyal,2023-04-30,21623
CUST-000076,Laurent Duval,New,2025-06-22,31214
CUST-000077,Marie Fontaine,Returning,2024-06-27,67234
